,CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score,RFM_level,Kmeans cluster,Color,Advice
41,12398.0,46,1,1635.66,3,1,3,7,Loyal Customers,0,red,Huge product discount
42,12399.0,120,4,1108.65,2,2,3,7,Loyal Customers,3,black,Direct social media messaging
43,12401.0,304,1,84.3,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
44,12402.0,324,1,225.6,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
45,12403.0,50,2,3229.62,3,1,4,8,Loyal Customers,3,black,Direct social media messaging
46,12405.0,149,1,1710.39,1,1,3,5,Loyal Customers,3,black,Direct social media messaging
47,12406.0,23,2,3415.3,3,1,4,8,Loyal Customers,3,black,Direct social media messaging
48,12407.0,50,5,1708.12,3,3,3,9,Best Customers,1,blue,Promotion of new offers
49,12408.0,33,6,2889.39,3,3,4,10,Best Customers,1,blue,Promotion of new offers
50,12409.0,79,3,11072.67,2,2,4,8,Loyal Customers,3,black,Direct social media messaging
51,12410.0,309,3,2441.16,1,2,4,7,Loyal Customers,3,black,Direct social media messaging
52,12412.0,75,3,1226.88,2,2,3,7,Loyal Customers,3,black,Direct social media messaging
53,12413.0,67,3,758.1,2,2,3,7,Loyal Customers,3,black,Direct social media messaging
54,12414.0,218,3,562.41,1,2,2,5,Loyal Customers,2,green,Products advertisment via mail
55,12415.0,25,23,125798.47,3,4,4,11,Best Customers,1,blue,Promotion of new offers
56,12417.0,4,9,3649.1,4,4,4,12,Best Customers,1,blue,Promotion of new offers
57,12418.0,113,1,668.58,2,1,2,5,Loyal Customers,2,green,Products advertisment via mail
58,12420.0,64,1,600.39,2,1,2,5,Loyal Customers,2,green,Products advertisment via mail
59,12421.0,16,4,807.04,4,2,3,9,Best Customers,0,red,Huge product discount
60,12422.0,96,3,803.56,2,2,3,7,Loyal Customers,3,black,Direct social media messaging
61,12423.0,1,8,1859.31,4,4,3,11,Best Customers,1,blue,Promotion of new offers
62,12424.0,163,2,1760.96,1,1,3,5,Loyal Customers,3,black,Direct social media messaging
63,12425.0,79,1,777.2,2,1,3,6,Loyal Customers,3,black,Direct social media messaging
64,12426.0,195,1,582.73,1,1,2,4,Promising but might Require Attention,2,green,Products advertisment via mail
65,12427.0,22,4,2159.93,3,2,4,9,Best Customers,3,black,Direct social media messaging
66,12428.0,26,9,7956.46,3,4,4,11,Best Customers,1,blue,Promotion of new offers
67,12429.0,10,4,3750.4,4,2,4,10,Best Customers,1,blue,Promotion of new offers
68,12430.0,44,1,256.4,3,1,1,5,Loyal Customers,0,red,Huge product discount
69,12431.0,36,15,6419.95,3,4,4,11,Best Customers,1,blue,Promotion of new offers
70,12432.0,43,5,5059.32,3,3,4,10,Best Customers,1,blue,Promotion of new offers
71,12433.0,1,8,21065.1,4,4,4,12,Best Customers,1,blue,Promotion of new offers
72,12434.0,85,2,806.14,2,1,3,6,Loyal Customers,3,black,Direct social media messaging
73,12435.0,80,2,7829.89,2,1,4,7,Loyal Customers,3,black,Direct social media messaging
74,12436.0,100,1,509.01,2,1,2,5,Loyal Customers,2,green,Products advertisment via mail
75,12437.0,2,19,4966.31,4,4,4,12,Best Customers,1,blue,Promotion of new offers
76,12438.0,15,2,2903.97,4,1,4,9,Best Customers,0,red,Huge product discount
77,12441.0,367,1,173.55,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
78,12442.0,4,1,172.06,4,1,1,6,Loyal Customers,0,red,Huge product discount
79,12444.0,22,5,5005.46,3,3,4,10,Best Customers,1,blue,Promotion of new offers
80,12445.0,23,1,133.4,3,1,1,5,Loyal Customers,0,red,Huge product discount
81,12446.0,58,1,1002.31,2,1,3,6,Loyal Customers,3,black,Direct social media messaging
82,12447.0,244,1,476.49,1,1,2,4,Promising but might Require Attention,2,green,Products advertisment via mail
83,12448.0,45,1,449.45,3,1,2,6,Loyal Customers,0,red,Huge product discount
84,12449.0,23,4,4067.29,3,2,4,9,Best Customers,3,black,Direct social media messaging
85,12450.0,157,2,197.88,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
86,12451.0,11,5,9035.52,4,3,4,11,Best Customers,1,blue,Promotion of new offers
87,12452.0,17,2,430.57,4,1,2,7,Loyal Customers,0,red,Huge product discount
88,12453.0,135,1,707.09,2,1,2,5,Loyal Customers,2,green,Products advertisment via mail
89,12454.0,54,4,5173.1,2,2,4,8,Loyal Customers,3,black,Direct social media messaging
90,12455.0,74,6,2466.86,2,3,4,9,Best Customers,3,black,Direct social media messaging
91,12456.0,45,4,6748.6,3,2,4,9,Best Customers,3,black,Direct social media messaging
92,12457.0,67,8,3676.66,2,4,4,10,Best Customers,1,blue,Promotion of new offers
93,12458.0,72,2,947.4,2,1,3,6,Loyal Customers,3,black,Direct social media messaging
94,12461.0,95,2,826.88,2,1,3,6,Loyal Customers,3,black,Direct social media messaging
95,12462.0,19,2,1189.59,3,1,3,7,Loyal Customers,0,red,Huge product discount
96,12463.0,54,4,1344.78,2,2,3,7,Loyal Customers,3,black,Direct social media messaging
97,12464.0,11,8,1212.05,4,4,3,11,Best Customers,1,blue,Promotion of new offers
98,12465.0,18,2,742.19,4,1,3,8,Loyal Customers,0,red,Huge product discount
99,12468.0,188,2,729.54,1,1,3,5,Loyal Customers,3,black,Direct social media messaging
100,12471.0,3,34,25803.7,4,4,4,12,Best Customers,1,blue,Promotion of new offers
101,12472.0,33,7,6572.11,3,3,4,10,Best Customers,1,blue,Promotion of new offers
102,12473.0,30,5,3928.05,3,3,4,10,Best Customers,1,blue,Promotion of new offers
103,12474.0,18,22,8697.07,4,4,4,12,Best Customers,1,blue,Promotion of new offers
104,12475.0,54,1,719.38,2,1,3,6,Loyal Customers,3,black,Direct social media messaging
105,12476.0,16,12,6846.67,4,4,4,12,Best Customers,1,blue,Promotion of new offers
106,12477.0,23,7,16456.68,3,3,4,10,Best Customers,1,blue,Promotion of new offers
107,12478.0,4,1,680.99,4,1,2,7,Loyal Customers,0,red,Huge product discount
108,12479.0,5,2,533.45,4,1,2,7,Loyal Customers,0,red,Huge product discount
109,12480.0,29,4,3281.63,3,2,4,9,Best Customers,3,black,Direct social media messaging
110,12481.0,23,10,5579.82,3,4,4,11,Best Customers,1,blue,Promotion of new offers
111,12483.0,18,8,2484.98,4,4,4,12,Best Customers,1,blue,Promotion of new offers
112,12484.0,33,6,4527.32,3,3,4,10,Best Customers,1,blue,Promotion of new offers
113,12488.0,10,3,1298.66,4,2,3,9,Best Customers,0,red,Huge product discount
114,12489.0,337,1,334.93,1,1,2,4,Promising but might Require Attention,2,green,Products advertisment via mail
115,12490.0,6,11,5447.44,4,4,4,12,Best Customers,1,blue,Promotion of new offers
116,12491.0,39,1,460.4,3,1,2,6,Loyal Customers,0,red,Huge product discount
117,12492.0,64,2,263.21,2,1,1,4,Promising but might Require Attention,2,green,Products advertisment via mail
118,12493.0,166,2,433.74,1,1,2,4,Promising but might Require Attention,2,green,Products advertisment via mail
119,12494.0,16,9,2492.46,4,4,4,12,Best Customers,1,blue,Promotion of new offers
120,12497.0,82,1,1043.1,2,1,3,6,Loyal Customers,3,black,Direct social media messaging
121,12498.0,22,3,403.7,3,2,2,7,Loyal Customers,0,red,Huge product discount
122,12500.0,24,11,4257.82,3,4,4,11,Best Customers,1,blue,Promotion of new offers
123,12501.0,337,1,2169.39,1,1,4,6,Loyal Customers,3,black,Direct social media messaging
124,12502.0,96,5,3723.87,2,3,4,9,Best Customers,3,black,Direct social media messaging
125,12504.0,19,3,490.78,3,2,2,7,Loyal Customers,0,red,Huge product discount
126,12506.0,233,1,73.5,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
127,12507.0,135,3,1304.81,2,2,3,7,Loyal Customers,3,black,Direct social media messaging
128,12508.0,27,2,397.88,3,1,2,6,Loyal Customers,0,red,Huge product discount
129,12509.0,285,1,176.5,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
130,12510.0,143,7,6132.03,2,3,4,9,Best Customers,3,black,Direct social media messaging
131,12512.0,67,2,132.18,2,1,1,4,Promising but might Require Attention,2,green,Products advertisment via mail
132,12513.0,113,1,612.29,2,1,2,5,Loyal Customers,2,green,Products advertisment via mail
133,12514.0,268,2,1018.52,1,1,3,5,Loyal Customers,3,black,Direct social media messaging
134,12515.0,354,2,446.49,1,1,2,4,Promising but might Require Attention,2,green,Products advertisment via mail
135,12516.0,78,2,1312.06,2,1,3,6,Loyal Customers,3,black,Direct social media messaging
136,12517.0,29,5,2481.6,3,3,4,10,Best Customers,1,blue,Promotion of new offers
137,12518.0,1,5,2056.89,4,3,4,11,Best Customers,1,blue,Promotion of new offers
138,12519.0,64,1,330.84,2,1,2,5,Loyal Customers,2,green,Products advertisment via mail
139,12520.0,80,7,5900.19,2,3,4,9,Best Customers,3,black,Direct social media messaging
140,12521.0,143,1,599.68,2,1,2,5,Loyal Customers,2,green,Products advertisment via mail
141,12522.0,40,2,188.72,3,1,1,5,Loyal Customers,0,red,Huge product discount
142,12523.0,20,11,1789.77,3,4,3,10,Best Customers,1,blue,Promotion of new offers
143,12524.0,10,10,7632.98,4,4,4,12,Best Customers,1,blue,Promotion of new offers
144,12526.0,1,4,4045.89,4,2,4,10,Best Customers,1,blue,Promotion of new offers
145,12527.0,82,3,348.71,2,2,2,6,Loyal Customers,2,green,Products advertisment via mail
146,12528.0,10,8,7364.59,4,4,4,12,Best Customers,1,blue,Promotion of new offers
147,12530.0,60,4,1662.28,2,2,3,7,Loyal Customers,3,black,Direct social media messaging
148,12531.0,15,1,125.22,4,1,1,6,Loyal Customers,0,red,Huge product discount
149,12532.0,31,1,349.83,3,1,2,6,Loyal Customers,0,red,Huge product discount
150,12534.0,131,1,1089.18,2,1,3,6,Loyal Customers,3,black,Direct social media messaging
151,12535.0,92,2,716.35,2,1,3,6,Loyal Customers,3,black,Direct social media messaging
152,12536.0,44,3,12601.83,3,2,4,9,Best Customers,3,black,Direct social media messaging
153,12538.0,30,1,363.95,3,1,2,6,Loyal Customers,0,red,Huge product discount
154,12539.0,23,5,10299.99,3,3,4,10,Best Customers,1,blue,Promotion of new offers
155,12540.0,20,18,15157.34,3,4,4,11,Best Customers,1,blue,Promotion of new offers
156,12541.0,30,4,1026.03,3,2,3,8,Loyal Customers,3,black,Direct social media messaging
157,12544.0,37,1,372.7,3,1,2,6,Loyal Customers,0,red,Huge product discount
158,12545.0,76,2,1000.39,2,1,3,6,Loyal Customers,3,black,Direct social media messaging
159,12546.0,47,2,1161.5,3,1,3,7,Loyal Customers,0,red,Huge product discount
160,12547.0,198,2,207.8,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
161,12548.0,167,1,95.2,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
162,12550.0,80,1,964.83,2,1,3,6,Loyal Customers,3,black,Direct social media messaging
163,12551.0,358,1,168.0,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
164,12552.0,39,2,437.82,3,1,2,6,Loyal Customers,0,red,Huge product discount
165,12553.0,9,12,3716.08,4,4,4,12,Best Customers,1,blue,Promotion of new offers
166,12556.0,51,2,599.56,3,1,2,6,Loyal Customers,0,red,Huge product discount
167,12557.0,17,5,11990.96,4,3,4,11,Best Customers,1,blue,Promotion of new offers
168,12558.0,8,1,269.96,4,1,1,6,Loyal Customers,0,red,Huge product discount
169,12559.0,311,4,1516.96,1,2,3,6,Loyal Customers,3,black,Direct social media messaging
170,12560.0,6,4,2135.66,4,2,4,10,Best Customers,1,blue,Promotion of new offers
171,12561.0,303,1,238.85,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
172,12562.0,9,7,3781.74,4,3,4,11,Best Customers,1,blue,Promotion of new offers
173,12564.0,262,1,456.9,1,1,2,4,Promising but might Require Attention,2,green,Products advertisment via mail
174,12565.0,289,1,145.92,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
175,12566.0,87,1,351.65,2,1,2,5,Loyal Customers,2,green,Products advertisment via mail
176,12567.0,23,10,9401.28,3,4,4,11,Best Customers,1,blue,Promotion of new offers
177,12569.0,3,34,9156.55,4,4,4,12,Best Customers,1,blue,Promotion of new offers
178,12571.0,40,2,519.61,3,1,2,6,Loyal Customers,0,red,Huge product discount
179,12572.0,9,2,1020.42,4,1,3,8,Loyal Customers,0,red,Huge product discount
180,12573.0,228,1,160.54,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
181,12574.0,316,1,218.45,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
182,12576.0,36,5,1315.83,3,3,3,9,Best Customers,1,blue,Promotion of new offers
183,12577.0,36,3,626.6,3,2,2,7,Loyal Customers,0,red,Huge product discount
184,12578.0,22,2,2794.51,3,1,4,8,Loyal Customers,3,black,Direct social media messaging
185,12579.0,79,1,440.42,2,1,2,5,Loyal Customers,2,green,Products advertisment via mail
186,12580.0,247,1,415.7,1,1,2,4,Promising but might Require Attention,2,green,Products advertisment via mail
187,12581.0,40,1,197.71,3,1,1,5,Loyal Customers,0,red,Huge product discount
188,12582.0,239,2,511.36,1,1,2,4,Promising but might Require Attention,2,green,Products advertisment via mail
189,12583.0,3,15,7266.98,4,4,4,12,Best Customers,1,blue,Promotion of new offers
190,12584.0,4,9,2338.15,4,4,4,12,Best Customers,1,blue,Promotion of new offers
191,12585.0,235,3,7302.16,1,2,4,7,Loyal Customers,3,black,Direct social media messaging
192,12586.0,18,1,196.94,4,1,1,6,Loyal Customers,0,red,Huge product discount
193,12587.0,8,1,144.0,4,1,1,6,Loyal Customers,0,red,Huge product discount
194,12588.0,40,2,215.45,3,1,1,5,Loyal Customers,0,red,Huge product discount
195,12589.0,29,2,646.68,3,1,2,6,Loyal Customers,0,red,Huge product discount
196,12590.0,212,2,9864.26,1,1,4,6,Loyal Customers,3,black,Direct social media messaging
197,12591.0,318,1,452.85,1,1,2,4,Promising but might Require Attention,2,green,Products advertisment via mail
198,12592.0,93,2,437.6,2,1,2,5,Loyal Customers,2,green,Products advertisment via mail
199,12593.0,109,3,418.1,2,2,2,6,Loyal Customers,2,green,Products advertisment via mail
200,12594.0,38,10,3338.22,3,4,4,11,Best Customers,1,blue,Promotion of new offers
201,12596.0,52,2,618.27,2,1,2,5,Loyal Customers,2,green,Products advertisment via mail
202,12597.0,20,5,5093.6,3,3,4,10,Best Customers,1,blue,Promotion of new offers
203,12598.0,10,8,3023.08,4,4,4,12,Best Customers,1,blue,Promotion of new offers
204,12599.0,30,9,1541.74,3,4,3,10,Best Customers,1,blue,Promotion of new offers
205,12600.0,29,12,3674.85,3,4,4,11,Best Customers,1,blue,Promotion of new offers
206,12601.0,190,5,577.06,1,3,2,6,Loyal Customers,3,black,Direct social media messaging
207,12602.0,59,1,153.12,2,1,1,4,Promising but might Require Attention,2,green,Products advertisment via mail
208,12603.0,22,1,739.2,3,1,3,7,Loyal Customers,0,red,Huge product discount
209,12604.0,80,2,254.18,2,1,1,4,Promising but might Require Attention,2,green,Products advertisment via mail
210,12607.0,59,4,5598.82,2,2,4,8,Loyal Customers,3,black,Direct social media messaging
211,12609.0,79,3,1126.85,2,2,3,7,Loyal Customers,3,black,Direct social media messaging
212,12610.0,23,5,2099.54,3,3,4,10,Best Customers,1,blue,Promotion of new offers
213,12611.0,53,1,1193.32,2,1,3,6,Loyal Customers,3,black,Direct social media messaging
214,12612.0,75,1,704.04,2,1,2,5,Loyal Customers,2,green,Products advertisment via mail
215,12613.0,58,7,6043.66,2,3,4,9,Best Customers,3,black,Direct social media messaging
216,12614.0,278,1,315.6,1,1,2,4,Promising but might Require Attention,2,green,Products advertisment via mail
217,12615.0,3,6,3375.59,4,3,4,11,Best Customers,1,blue,Promotion of new offers
218,12616.0,96,2,713.3,2,1,3,6,Loyal Customers,3,black,Direct social media messaging
219,12617.0,30,1,352.98,3,1,2,6,Loyal Customers,0,red,Huge product discount
220,12618.0,22,1,177.31,3,1,1,5,Loyal Customers,0,red,Huge product discount
221,12619.0,17,10,3662.69,4,4,4,12,Best Customers,1,blue,Promotion of new offers
222,12620.0,15,3,1339.41,4,2,3,9,Best Customers,0,red,Huge product discount
223,12621.0,2,22,15435.22,4,4,4,12,Best Customers,1,blue,Promotion of new offers
224,12622.0,233,1,180.1,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
225,12623.0,277,1,305.1,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
226,12624.0,107,2,641.13,2,1,2,5,Loyal Customers,2,green,Products advertisment via mail
227,12625.0,212,2,2683.82,1,1,4,6,Loyal Customers,3,black,Direct social media messaging
228,12626.0,24,9,6620.48,3,4,4,11,Best Customers,1,blue,Promotion of new offers
229,12627.0,11,7,4466.53,4,3,4,11,Best Customers,1,blue,Promotion of new offers
230,12628.0,5,3,786.46,4,2,3,9,Best Customers,0,red,Huge product discount
231,12630.0,10,2,1270.88,4,1,3,8,Loyal Customers,0,red,Huge product discount
232,12631.0,58,1,640.5,2,1,2,5,Loyal Customers,2,green,Products advertisment via mail
233,12633.0,59,5,2229.28,2,3,4,9,Best Customers,3,black,Direct social media messaging
234,12635.0,90,2,1685.18,2,1,3,6,Loyal Customers,3,black,Direct social media messaging
235,12637.0,68,15,14082.07,2,4,4,10,Best Customers,1,blue,Promotion of new offers
236,12638.0,34,1,671.69,3,1,2,6,Loyal Customers,0,red,Huge product discount
237,12639.0,239,2,3343.89,1,1,4,6,Loyal Customers,3,black,Direct social media messaging
238,12640.0,24,3,1174.58,3,2,3,8,Loyal Customers,3,black,Direct social media messaging
239,12641.0,116,1,185.9,2,1,1,4,Promising but might Require Attention,2,green,Products advertisment via mail
240,12642.0,26,3,1013.26,3,2,3,8,Loyal Customers,3,black,Direct social media messaging
241,12643.0,129,6,3344.64,2,3,4,9,Best Customers,3,black,Direct social media messaging
242,12644.0,130,1,477.91,2,1,2,5,Loyal Customers,2,green,Products advertisment via mail
243,12645.0,34,4,1775.18,3,2,3,8,Loyal Customers,3,black,Direct social media messaging
244,12646.0,5,2,1346.97,4,1,3,8,Loyal Customers,0,red,Huge product discount
245,12647.0,23,12,3722.82,3,4,4,11,Best Customers,1,blue,Promotion of new offers
246,12648.0,155,1,318.05,1,1,2,4,Promising but might Require Attention,2,green,Products advertisment via mail
247,12649.0,108,3,614.87,2,2,2,6,Loyal Customers,2,green,Products advertisment via mail
248,12650.0,4,1,314.44,4,1,2,7,Loyal Customers,0,red,Huge product discount
249,12651.0,335,1,114.0,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
250,12652.0,332,2,4636.15,1,1,4,6,Loyal Customers,3,black,Direct social media messaging
251,12653.0,149,2,2209.85,1,1,4,6,Loyal Customers,3,black,Direct social media messaging
252,12654.0,11,6,1326.72,4,3,3,10,Best Customers,1,blue,Promotion of new offers
253,12656.0,18,5,4051.17,4,3,4,11,Best Customers,1,blue,Promotion of new offers
254,12657.0,12,4,1643.18,4,2,3,9,Best Customers,0,red,Huge product discount
255,12658.0,19,1,686.05,3,1,2,6,Loyal Customers,0,red,Huge product discount
256,12659.0,30,1,91.68,3,1,1,5,Loyal Customers,0,red,Huge product discount
257,12660.0,12,1,245.1,4,1,1,6,Loyal Customers,0,red,Huge product discount
258,12662.0,1,12,7192.73,4,4,4,12,Best Customers,1,blue,Promotion of new offers
259,12664.0,9,10,5243.85,4,4,4,12,Best Customers,1,blue,Promotion of new offers
260,12665.0,325,1,63.0,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
261,12667.0,59,1,620.13,2,1,2,5,Loyal Customers,2,green,Products advertisment via mail
262,12668.0,12,4,3807.15,4,2,4,10,Best Customers,1,blue,Promotion of new offers
263,12669.0,151,3,2744.03,1,2,4,7,Loyal Customers,3,black,Direct social media messaging
264,12670.0,11,5,2996.05,4,3,4,11,Best Customers,1,blue,Promotion of new offers
265,12672.0,330,1,225.9,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
266,12673.0,6,2,610.52,4,1,2,7,Loyal Customers,0,red,Huge product discount
267,12674.0,39,4,1970.6,3,2,4,9,Best Customers,3,black,Direct social media messaging
268,12676.0,25,6,1331.39,3,3,3,9,Best Customers,1,blue,Promotion of new offers
269,12678.0,43,14,20302.39,3,4,4,11,Best Customers,1,blue,Promotion of new offers
270,12679.0,59,4,1113.02,2,2,3,7,Loyal Customers,3,black,Direct social media messaging
271,12680.0,1,4,862.81,4,2,3,9,Best Customers,0,red,Huge product discount
272,12681.0,15,23,15135.92,4,4,4,12,Best Customers,1,blue,Promotion of new offers
273,12682.0,4,35,17017.47,4,4,4,12,Best Customers,1,blue,Promotion of new offers
274,12683.0,5,15,8476.57,4,4,4,12,Best Customers,1,blue,Promotion of new offers
275,12684.0,8,9,7280.06,4,4,4,12,Best Customers,1,blue,Promotion of new offers
276,12685.0,29,6,2863.08,3,3,4,10,Best Customers,1,blue,Promotion of new offers
277,12686.0,372,1,89.14,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
278,12688.0,114,1,4870.93,2,1,4,7,Loyal Customers,3,black,Direct social media messaging
279,12689.0,26,2,1247.61,3,1,3,7,Loyal Customers,0,red,Huge product discount
280,12690.0,206,1,389.01,1,1,2,4,Promising but might Require Attention,2,green,Products advertisment via mail
281,12691.0,29,9,11389.71,3,4,4,11,Best Customers,1,blue,Promotion of new offers
282,12693.0,128,4,855.91,2,2,3,7,Loyal Customers,3,black,Direct social media messaging
283,12694.0,71,2,869.67,2,1,3,6,Loyal Customers,3,black,Direct social media messaging
284,12695.0,8,4,582.1,4,2,2,8,Loyal Customers,0,red,Huge product discount
285,12697.0,29,3,957.59,3,2,3,8,Loyal Customers,3,black,Direct social media messaging
286,12700.0,8,4,4939.99,4,2,4,10,Best Customers,1,blue,Promotion of new offers
287,12701.0,80,2,797.71,2,1,3,6,Loyal Customers,3,black,Direct social media messaging
288,12702.0,20,1,219.0,3,1,1,5,Loyal Customers,0,red,Huge product discount
289,12703.0,72,1,283.55,2,1,1,4,Promising but might Require Attention,2,green,Products advertisment via mail
290,12704.0,8,8,2340.84,4,4,4,12,Best Customers,1,blue,Promotion of new offers
291,12705.0,16,11,9291.56,4,4,4,12,Best Customers,1,blue,Promotion of new offers
292,12707.0,292,1,603.42,1,1,2,4,Promising but might Require Attention,2,green,Products advertisment via mail
293,12708.0,30,12,3090.73,3,4,4,11,Best Customers,1,blue,Promotion of new offers
294,12709.0,16,19,11219.68,4,4,4,12,Best Customers,1,blue,Promotion of new offers
295,12710.0,97,3,1149.02,2,2,3,7,Loyal Customers,3,black,Direct social media messaging
296,12712.0,29,13,4396.13,3,4,4,11,Best Customers,1,blue,Promotion of new offers
297,12713.0,1,1,848.55,4,1,3,8,Loyal Customers,0,red,Huge product discount
298,12714.0,10,5,4708.86,4,3,4,11,Best Customers,1,blue,Promotion of new offers
299,12715.0,107,1,343.36,2,1,2,5,Loyal Customers,2,green,Products advertisment via mail
300,12716.0,4,2,1053.49,4,1,3,8,Loyal Customers,0,red,Huge product discount
301,12717.0,152,2,1030.98,1,1,3,5,Loyal Customers,3,black,Direct social media messaging
302,12718.0,72,1,238.25,2,1,1,4,Promising but might Require Attention,2,green,Products advertisment via mail
303,12719.0,6,2,644.95,4,1,2,7,Loyal Customers,0,red,Huge product discount
304,12720.0,3,33,9276.28,4,4,4,12,Best Customers,1,blue,Promotion of new offers
305,12721.0,32,6,2653.25,3,3,4,10,Best Customers,1,blue,Promotion of new offers
306,12722.0,86,4,997.63,2,2,3,7,Loyal Customers,3,black,Direct social media messaging
307,12723.0,4,6,2142.62,4,3,4,11,Best Customers,1,blue,Promotion of new offers
308,12724.0,6,6,1052.87,4,3,3,10,Best Customers,1,blue,Promotion of new offers
309,12725.0,372,1,427.8,1,1,2,4,Promising but might Require Attention,2,green,Products advertisment via mail
310,12726.0,29,8,2610.44,3,4,4,11,Best Customers,1,blue,Promotion of new offers
311,12727.0,11,7,3975.9,4,3,4,11,Best Customers,1,blue,Promotion of new offers
